bQ,structTrue_exp,structTrue_pred,structFalse_exp,structFalse_pred
44,0.000000,0.000163,0.000000,0.000000
45,,,,0.000000
46,,,,0.000000
47,,,,0.000000
48,0.000000,0.005271,0.000000,0.000001
49,,,,0.000002
50,,,,0.000007
51,,,,0.000023
52,0.150000,0.102227,0.000000,0.000076
53,,,,0.000246
54,,,,0.000761
55,,,,0.002224
56,0.690000,0.618585,0.000000,0.006088
57,,,,0.015469
58,,,,0.036183
59,,,,0.077298
60,0.967033,0.983449,0.270000,0.149746
61,,,,0.261561
62,,,,0.410535
63,,,,0.579242
64,1.000000,0.999998,0.775510,0.738976
65,,,,0.863225
66,,,,0.941194
67,,,,0.979910
68,1.000000,1.000000,0.989362,0.994767
69,,,,0.999021
70,,,,0.999879
71,,,,0.999991
72,1.000000,1.000000,1.000000,1.000000
