l,exp,pred,pred_lower
1,0.605,0.5204258532005331,0.5204258532005331
2,0.675,0.584587131944791,0.39768731456967504
3,0.72,0.5665705299523804,0.29250776445102583
4,0.705,0.5154912634072584,0.20733142384216519
5,0.67,0.4497566840491452,0.14293037687873475
6,0.69,0.4014148129006279,0.09504414616185906
7,0.66,0.33788198123453395,0.06175996671078073
8,0.475,0.28063585651917217,0.03937000149088863
