i,mGSA,pred,exp
0,2.0040128470259058,1.952544869209114,1.872196
1,1.7930641262863367,1.7491986198705038,1.678954
2,1.5821154055467679,1.54599356584288,1.49862
3,1.3711666848071988,1.3421950500346471,1.310272
4,1.16021796406763,1.1368621464979731,1.139882
5,0.949269243328061,0.9282473399482114,0.939152
6,0.7383205225884919,0.7254124216934139,0.701374
7,0.5273718018489231,0.52571552382622,0.534732
8,0.316423081109354,0.3257748745450487,0.368582
9,0.10547436036978497,0.12355818773627214,0.122976
10,-0.10547436036978386,-0.08439456049952443,-0.058876
11,-0.3164230811093529,-0.3004681781031733,-0.272282
12,-0.527371801848922,-0.5320563057164507,-0.500462
13,-0.738320522588491,-0.6944320059064982,-0.661386
14,-0.9492692433280596,-0.8721627610604668,-0.886474
15,-1.1602179640676287,-1.0738096702394806,-1.053522
16,-1.3711666848071977,-1.2919586197414945,-1.25678
17,-1.5821154055467668,-1.5400637979664304,-1.561842
18,-1.7930641262863358,-1.8129835011450448,-1.829414
19,-2.004012847025905,-2.153173198825723,-2.085702
