i,mGSA,pred,exp
0,1.8040677906183187,1.8150308246212028,1.723574
1,1.7813751140067675,1.7924100897427724,1.719226
2,1.7586824373952163,1.769792452681856,1.709808
3,1.7359897607836652,1.7471767336411113,1.666584
4,1.713297084172114,1.7245620223075122,1.664556
5,1.6906044075605628,1.7019475735888656,1.65062
6,1.6679117309490117,1.6793324377557497,1.652214
7,1.6452190543374603,1.6567157811593316,1.60715
8,1.6225263777259094,1.634096571581017,1.59895
9,1.599833701114358,1.6114736332794493,1.567216
10,1.5771410245028068,1.5888461275469952,1.580494
11,1.5544483478912556,1.5662129136530443,1.557126
12,1.5317556712797045,1.5435730276601543,1.522338
13,1.5090629946681533,1.5209252089290308,1.516198
14,1.4863703180566021,1.498268707465922,1.491768
15,1.463677641445051,1.4756016689251317,1.47593
16,1.4409849648334998,1.4529230770268613,1.43879
17,1.4182922882219486,1.4302315939818004,1.41989
18,1.3955996116103975,1.4075258852835872,1.414962
19,1.3729069349988463,1.3848043611677665,1.388744
20,1.3502142583872951,1.3620654695475547,1.360736
21,1.327521581775744,1.3393084263824504,1.339284
22,1.3048289051641926,1.3165320351628336,1.305752
23,1.2821362285526416,1.293734213772268,1.291918
24,1.2594435519410903,1.2709142024306992,1.255464
25,1.2367508753295393,1.2480696968383924,1.253614
26,1.214058198717988,1.2252009456106066,1.235282
27,1.191365522106437,1.2023061363031913,1.218272
28,1.1686728454948856,1.1793838613246892,1.170388
29,1.1459801688833344,1.1564315220798933,1.165704
30,1.1232874922717833,1.1334465328102568,1.126568
31,1.100594815660232,1.1104284816752557,1.102488
32,1.077902139048681,1.0873784288303419,1.099806
33,1.0552094624371298,1.0643005872755456,1.074152
34,1.0325167858255786,1.0412945948830112,1.03725
35,1.0098241092140274,1.0183566422952943,1.015728
36,0.9871314326024763,0.9954829234279343,0.993946
37,0.964438755990925,0.972669633652777,0.977864
38,0.9417460793793738,0.9499129679425291,0.961258
39,0.9190534027678227,0.9272091189749349,0.934172
40,0.8963607261562715,0.9045542751950779,0.905656
41,0.8736680495447203,0.8819446188344475,0.889014
42,0.8509753729331692,0.8593763238856075,0.860428
43,0.828282696321618,0.8368455540315616,0.839474
44,0.8055900197100667,0.814348460529244,0.82841
45,0.7828973430985156,0.7918811800469919,0.797316
46,0.7602046664869644,0.7694398324564042,0.778208
47,0.7375119898754132,0.7470205185796828,0.76348
48,0.714819313263862,0.7246193178944187,0.729974
49,0.6921266366523109,0.7022322861988753,0.707982
50,0.6694339600407597,0.6798554532421788,0.702632
51,0.6467412834292086,0.657484820325519,0.670194
52,0.6240486068176574,0.6349503176542818,0.646874
53,0.6013559302061062,0.6125665536357197,0.61431
54,0.5786632535945551,0.5902652727256645,0.6022
55,0.5559705769830039,0.5680141769365098,0.565204
56,0.5332779003714525,0.5457727912128166,0.541998
57,0.5105852237599013,0.5235133430917338,0.520898
58,0.4878925471483502,0.5012552367458518,0.513348
59,0.465199870536799,0.4789766209606599,0.49043
60,0.44250719392524784,0.45667861170370544,0.46541
61,0.4198145173136967,0.43435368845955696,0.440356
62,0.3971218407021455,0.4120390876289825,0.416792
63,0.37442916409059435,0.38967127018811226,0.40092
64,0.3517364874790432,0.3673037924046387,0.372494
65,0.329043810867492,0.3448813178476829,0.320952
66,0.30635113425594085,0.32238643407833395,0.309576
67,0.2836584576443897,0.29983520829546023,0.304746
68,0.2609657810328385,0.2772373043194121,0.280746
69,0.23827310442128735,0.25457888027525916,0.263192
70,0.21558042780973619,0.23186641559135662,0.237046
71,0.19288775119818502,0.20908636815408627,0.222362
72,0.17019507458663385,0.18622852028810738,0.190642
73,0.14750239797508247,0.16331326641029748,0.16286
74,0.1248097213635313,0.14032043834258495,0.148854
75,0.10211704475198013,0.11726021011702875,0.127836
76,0.07942436814042897,0.0941126288776844,0.099212
77,0.0567316915288778,0.07090911530000493,0.077122
78,0.03403901491732664,0.04757824086573387,0.059832
79,0.011346338305775472,0.02417178744671172,0.02012
80,-0.011346338305775694,0.0006681621542931587,0.004918
81,-0.03403901491732686,-0.022933762692038565,-0.011036
82,-0.056731691528878025,-0.04665165811671229,-0.04822
83,-0.07942436814042919,-0.07048470251311151,-0.062306
84,-0.10211704475198036,-0.09438529300600279,-0.091448
85,-0.12480972136353152,-0.11838061165948705,-0.120836
86,-0.1475023979750827,-0.14252853381938985,-0.142524
87,-0.17019507458663385,-0.16674651207375396,-0.179658
88,-0.19288775119818524,-0.1911341554621449,-0.186314
89,-0.21558042780973619,-0.2155303817247028,-0.216462
90,-0.23827310442128757,-0.24006685004839917,-0.244342
91,-0.2609657810328385,-0.26471946230496995,-0.261044
92,-0.2836584576443899,-0.28956585032588805,-0.288256
93,-0.30635113425594085,-0.31460779116011467,-0.31052
94,-0.32904381086749224,-0.33970873981271016,-0.348416
95,-0.3517364874790432,-0.3647749003817458,-0.372728
96,-0.37442916409059457,-0.3896034306588059,-0.38309
97,-0.39712184070214596,-0.40808292582882205,-0.406356
98,-0.4198145173136969,-0.4267343707130315,-0.420346
99,-0.4425071939252483,-0.44556136519792827,-0.434114
100,-0.46519987053679923,-0.4645676221643062,-0.448742
101,-0.4878925471483506,-0.48375697178526483,-0.475766
102,-0.5105852237599016,-0.5031333659656674,-0.491808
103,-0.533277900371453,-0.5227008829180732,-0.511334
104,-0.5559705769830039,-0.5424637318674381,-0.524582
105,-0.5786632535945553,-0.5624262578734918,-0.551282
106,-0.6013559302061062,-0.5825929467555028,-0.57259
107,-0.6240486068176576,-0.6029684300989296,-0.58396
108,-0.6467412834292086,-0.6235574903170605,-0.603458
109,-0.66943396004076,-0.6443650657327904,-0.63682
110,-0.6921266366523109,-0.6653962556359347,-0.667018
111,-0.7148193132638623,-0.6866563252593857,-0.681764
112,-0.7375119898754137,-0.7081507106025223,-0.70591
113,-0.7602046664869646,-0.7298850230118719,-0.69882
114,-0.782897343098516,-0.7518650534062142,-0.718828
115,-0.8055900197100669,-0.7847233506158292,-0.748428
116,-0.8282826963216183,-0.7976105795158568,-0.772866
117,-0.8509753729331693,-0.814715424589982,-0.800594
118,-0.8736680495447207,-0.8338048577624098,-0.820462
119,-0.8963607261562716,-0.8554345093620163,-0.845086
120,-0.919053402767823,-0.8788318885186596,-0.874478
121,-0.9417460793793739,-0.9010054630268811,-0.902654
122,-0.9644387559909253,-0.9245761734886069,-0.933992
123,-0.9871314326024763,-0.9480959714665878,-0.938482
124,-1.0098241092140277,-0.972116475903964,-0.956746
125,-1.0325167858255786,-0.993780764679381,-0.979898
126,-1.05520946243713,-1.0195012285688794,-1.018376
127,-1.077902139048681,-1.04184730793636,-1.042214
128,-1.1005948156602323,-1.0677345792226969,-1.05084
129,-1.1232874922717837,-1.0947912433728229,-1.092302
130,-1.1459801688833346,-1.1208920160077476,-1.105506
131,-1.168672845494886,-1.146430646153787,-1.15477
132,-1.191365522106437,-1.1729018344885465,-1.179912
133,-1.2140581987179884,-1.1990188594766704,-1.204338
134,-1.2367508753295393,-1.226056620376117,-1.226548
135,-1.2594435519410907,-1.2538158952507292,-1.245496
136,-1.2821362285526416,-1.2803477278738893,-1.298814
137,-1.304828905164193,-1.3082277299054683,-1.31298
138,-1.327521581775744,-1.3355341680751782,-1.345476
139,-1.3502142583872954,-1.364184989183182,-1.38542
140,-1.3729069349988463,-1.3909122400759701,-1.399092
141,-1.3955996116103977,-1.4222668484755074,-1.419798
142,-1.4182922882219486,-1.4504347779338504,-1.439874
143,-1.4409849648335,-1.4800602312502404,-1.480264
144,-1.463677641445051,-1.5098550279931005,-1.51452
145,-1.4863703180566024,-1.54087906985332,-1.529086
146,-1.5090629946681537,-1.5719664994684326,-1.597298
147,-1.5317556712797047,-1.6001224940403234,-1.592434
148,-1.554448347891256,-1.6300856868111575,-1.627428
149,-1.577141024502807,-1.6638476298754319,-1.671884
150,-1.5998337011143584,-1.692479142080867,-1.68144
151,-1.6225263777259094,-1.7275556889129384,-1.740686
152,-1.6452190543374607,-1.7524926362480169,-1.767248
153,-1.6679117309490117,-1.7858643544234343,-1.79298
154,-1.690604407560563,-1.8178340344510964,-1.81773
155,-1.713297084172114,-1.8548882956258923,-1.833344
156,-1.7359897607836654,-1.892250063698558,-1.843694
157,-1.7586824373952163,-1.9210685049083926,-1.921338
158,-1.7813751140067677,-1.9439430162131635,-1.926536
159,-1.8040677906183187,-1.9538008380957639,-1.945744
