i,mGSA,pred,exp
0,1.8377813464731005,1.8497767306045245,1.752136
1,1.7912552364358068,1.803399661268632,1.740074
2,1.7447291263985132,1.7570334015299365,1.697246
3,1.6982030163612194,1.7106740968450638,1.66191
4,1.6516769063239258,1.6643128616892569,1.6475
5,1.605150796286632,1.6179386672656888,1.606812
6,1.5586246862493385,1.5715433137202617,1.548688
7,1.5120985762120447,1.5251174010624207,1.517682
8,1.4655724661747511,1.4786523628676476,1.47722
9,1.4190463561374573,1.432138699928905,1.443714
10,1.3725202461001638,1.385563661261239,1.389124
11,1.32599413606287,1.3389135122136442,1.295378
12,1.2794680260255764,1.2921732954048295,1.288014
13,1.2329419159882826,1.2453291952715457,1.240768
14,1.1864158059509888,1.1983711997828204,1.2106
15,1.1398896959136953,1.1512826925675692,1.14761
16,1.0933635858764017,1.1040535943414305,1.108912
17,1.046837475839108,1.0566632138393404,1.065584
18,1.0003113658018141,1.0095841265895678,1.008118
19,0.9537852557645206,0.9627841659822037,0.969254
20,0.9072591457272269,0.9162311855607921,0.939634
21,0.8607330356899332,0.8698929924698198,0.86822
22,0.8142069256526394,0.8237372775599533,0.831984
23,0.7676808156153458,0.7777315418729045,0.779578
24,0.7211547055780521,0.7318430192752264,0.720242
25,0.6746285955407585,0.6860385950998589,0.688186
26,0.6281024855034647,0.6402847208094693,0.628118
27,0.5815763754661711,0.5943375214920201,0.603518
28,0.5350502654288773,0.5485854405335405,0.566612
29,0.4885241553915838,0.5029743645849065,0.515286
30,0.44199804535429,0.45732405949322225,0.473962
31,0.3954719353169964,0.411618227030293,0.403188
32,0.34894582527970264,0.36571051186038245,0.371576
33,0.30241971524240885,0.31967934963638284,0.321118
34,0.2558936052051153,0.2735356516215692,0.274242
35,0.2093674951678215,0.22711457186829528,0.23749
36,0.16284138513052793,0.18033864014558929,0.189028
37,0.11631527509323414,0.1332873538239255,0.138402
38,0.06978916505594057,0.08591410868261536,0.090926
39,0.023263055018646783,0.038236178844265625,0.04544
40,-0.023263055018646783,-0.009784851156254198,0.002624
41,-0.06978916505594057,-0.05826253741930669,-0.078228
42,-0.11631527509323414,-0.10724110824349435,-0.100494
43,-0.1628413851305277,-0.1567734256489616,-0.151556
44,-0.20936749516782172,-0.20683790883966405,-0.212942
45,-0.2558936052051153,-0.2573266603459928,-0.243806
46,-0.30241971524240885,-0.3084610310824823,-0.302258
47,-0.3489458252797024,-0.3600484506451181,-0.357684
48,-0.3954719353169964,-0.41243858170070663,-0.39985
49,-0.44199804535429,-0.4498675781286419,-0.433932
50,-0.48852415539158356,-0.4880146128213317,-0.492736
51,-0.5350502654288776,-0.5269112074782272,-0.526974
52,-0.5815763754661711,-0.5665909933255766,-0.55394
53,-0.6281024855034647,-0.6070898846211608,-0.58301
54,-0.6746285955407583,-0.6484462644008615,-0.642772
55,-0.7211547055780523,-0.6907011812280501,-0.690188
56,-0.7676808156153458,-0.7338985543117931,-0.713292
57,-0.8142069256526394,-0.7780853821678622,-0.758032
58,-0.860733035689933,-0.83002565732416,-0.805704
59,-0.907259145727227,-0.8697290691545806,-0.840922
60,-0.9537852557645206,-0.9109689897980092,-0.909526
61,-1.0003113658018141,-0.9578353983242418,-0.952948
62,-1.0468374758391077,-1.0052625792957686,-1.007348
63,-1.0933635858764017,-1.0574286583821042,-1.05795
64,-1.1398896959136953,-1.1072866792828662,-1.096406
65,-1.1864158059509888,-1.1569189868129133,-1.153326
66,-1.2329419159882828,-1.2119389004584555,-1.207062
67,-1.2794680260255764,-1.2697152432335548,-1.266556
68,-1.32599413606287,-1.3253025221229102,-1.313906
69,-1.3725202461001635,-1.382656490673258,-1.372218
70,-1.4190463561374576,-1.439779646119831,-1.461354
71,-1.4655724661747511,-1.498436781147623,-1.481506
72,-1.5120985762120447,-1.5610708115491942,-1.544512
73,-1.5586246862493383,-1.625576803768569,-1.629076
74,-1.6051507962866323,-1.6922752651937,-1.682388
75,-1.6516769063239258,-1.7588368877266987,-1.766256
76,-1.6982030163612194,-1.82247795701744,-1.827666
77,-1.744729126398513,-1.8936265238889198,-1.873992
78,-1.791255236435807,-1.9592584570620786,-1.958652
79,-1.8377813464731005,-2.036532644399205,-2.054744
