i,mGSA,pred,exp
0,1.665955108642778,1.674971342939364,1.591828
1,1.6237790299429609,1.6329114707662746,1.570364
2,1.5816029512431435,1.590860568896855,1.537158
3,1.5394268725433264,1.5488144806206394,1.505228
4,1.4972507938435093,1.5067663293620317,1.478878
5,1.4550747151436922,1.4647094638539184,1.423288
6,1.412898636443875,1.4226359472455996,1.394524
7,1.3707225577440578,1.3805387801166962,1.374558
8,1.3285464790442407,1.3384107780160073,1.333386
9,1.2863704003444236,1.2962399183956812,1.27471
10,1.2441943216446063,1.2540158682504958,1.23393
11,1.2020182429447892,1.2117321623313861,1.21571
12,1.159842164244972,1.1693813370276633,1.155908
13,1.1176660855451548,1.1269581188289668,1.118576
14,1.0754900068453377,1.084464125497977,1.098182
15,1.0333139281455206,1.041878317323844,1.035768
16,0.9911378494457034,0.9991763073368445,1.017568
17,0.9489617707458862,0.9563502305704257,0.960384
18,0.9067856920460691,0.9137653130868758,0.921754
19,0.8646096133462519,0.8713939966469079,0.884324
20,0.8224335346464348,0.8292087658209724,0.826476
21,0.7802574559466176,0.7871820985860116,0.794786
22,0.7380813772468005,0.7452864156895649,0.747758
23,0.6959052985469832,0.7034940289459406,0.72684
24,0.653729219847166,0.6617770887848462,0.678624
25,0.6115531411473489,0.6201075316028787,0.619666
26,0.5693770624475318,0.5784570278076075,0.586264
27,0.5272009837477145,0.536607264956364,0.550872
28,0.4850249050478974,0.495125251047633,0.48938
29,0.4428488263480803,0.453645705253475,0.460502
30,0.4006727476482632,0.4121809865171076,0.428612
31,0.3584966689484459,0.3707009156008972,0.395178
32,0.3163205902486288,0.3290554334057502,0.349676
33,0.2741445115488117,0.28728261095198343,0.306162
34,0.23196843284899438,0.24538574406693905,0.265638
35,0.18979235414917728,0.20327364035595355,0.218866
36,0.14761627544936018,0.160946633114898,0.168146
37,0.10544019674954308,0.1183569324018641,0.129764
38,0.06326411804972576,0.07552659913645901,0.088024
39,0.02108803934990866,0.03244271291199288,0.038966
40,-0.02108803934990844,-0.01105672981557079,-0.011358
41,-0.06326411804972576,-0.05492968622993108,-0.04525
42,-0.10544019674954286,-0.09906272113926426,-0.101188
43,-0.14761627544935996,-0.14349424736461167,-0.128286
44,-0.18979235414917706,-0.18816164530616317,-0.174922
45,-0.23196843284899438,-0.23284966773693958,-0.226984
46,-0.2741445115488115,-0.2782817360472654,-0.26447
47,-0.3163205902486286,-0.32458600223190986,-0.315184
48,-0.3584966689484459,-0.3712581491591444,-0.36322
49,-0.4006727476482628,-0.40636712887375886,-0.415304
50,-0.4428488263480801,-0.4421168129626835,-0.44857
51,-0.4850249050478974,-0.4785333897536152,-0.483448
52,-0.5272009837477143,-0.5156445856683596,-0.510018
53,-0.5693770624475316,-0.5534797540708718,-0.532272
54,-0.6115531411473489,-0.5920699600769976,-0.577094
55,-0.6537292198471658,-0.6314480561796685,-0.618566
56,-0.6959052985469831,-0.6716487410087051,-0.65447
57,-0.7380813772468005,-0.7127085898163854,-0.708748
58,-0.7802574559466173,-0.7607353834027708,-0.731154
59,-0.8224335346464346,-0.7908171800936197,-0.778024
60,-0.8646096133462515,-0.8322202143360123,-0.830388
61,-0.9067856920460688,-0.8732252942808684,-0.861274
62,-0.9489617707458862,-0.9151812827722133,-0.914386
63,-0.991137849445703,-0.961954514614393,-0.945002
64,-1.0333139281455204,-1.007674885085375,-1.013094
65,-1.0754900068453377,-1.0534171293400232,-1.046926
66,-1.1176660855451546,-1.102201574655189,-1.117828
67,-1.1598421642449719,-1.1511905913284124,-1.143424
68,-1.2020182429447892,-1.2019237896727764,-1.19559
69,-1.244194321644606,-1.2522137320616855,-1.255872
70,-1.2863704003444234,-1.303157760017043,-1.307224
71,-1.3285464790442403,-1.3595394543406332,-1.350288
72,-1.3707225577440576,-1.414991335045689,-1.386798
73,-1.412898636443875,-1.4671868032991824,-1.466876
74,-1.4550747151436918,-1.520871560320967,-1.51321
75,-1.4972507938435091,-1.5728509814648497,-1.597978
76,-1.5394268725433264,-1.6181783630616018,-1.656382
77,-1.5816029512431433,-1.6866758536379576,-1.68586
78,-1.6237790299429606,-1.7600182539264742,-1.756606
79,-1.665955108642778,-1.818094703874,-1.862696
