bQ,structTrue_exp,structTrue_pred,structFalse_exp,structFalse_pred
44,0.010000,0.004231,0.000000,0.000000
45,,,,0.000000
46,,,,0.000000
47,,,,0.000000
48,0.080000,0.042201,0.000000,0.000000
49,,,,0.000000
50,,,,0.000000
51,,,,0.000000
52,0.380000,0.264999,0.000000,0.000000
53,,,,0.000000
54,,,,0.000000
55,,,,0.000000
56,0.790000,0.742777,0.000000,0.000000
57,,,,0.000001
58,,,,0.000005
59,,,,0.000019
60,0.960000,0.982318,0.000000,0.000065
61,,,,0.000211
62,,,,0.000646
63,,,,0.001856
64,1.000000,0.999961,0.010000,0.004967
65,,,,0.012324
66,,,,0.028208
67,,,,0.059289
68,1.000000,1.000000,0.210000,0.114003
69,,,,0.199947
70,,,,0.319374
71,,,,0.464865
72,1.000000,1.000000,0.660000,0.618765
73,,,,0.758672
74,,,,0.866815
75,,,,0.937134
76,1.000000,1.000000,0.960000,0.975164
77,,,,0.992020
78,,,,0.998001
79,,,,0.999633
80,1.000000,1.000000,1.000000,0.999955
